Scenario	Replication	[ScenarioInputs].Distribution		[EntitySystem1].StateTimes("0Nonworking")/[ScenarioInputs].SimDuration		[EntitySystem1].StateTimes("1Nonworking")/[ScenarioInputs].SimDuration		[EntitySystem1].StateTimes("2Nonworking")/[ScenarioInputs].SimDuration		[EntitySystem1].StateTimes("3Nonworking")/[ScenarioInputs].SimDuration		[TotalNonOp].SampleAverage/1[h]		[Queue1].AverageQueueTime/1[h]		[EntitySystem1].StateTimes("0Nonworking")/[ScenarioInputs].SimDuration * 0 + [EntitySystem1].StateTimes("1Nonworking")/[ScenarioInputs].SimDuration * 1 + [EntitySystem1].StateTimes("2Nonworking")/[ScenarioInputs].SimDuration * 2 + [EntitySystem1].StateTimes("3Nonworking")/[ScenarioInputs].SimDuration * 3		[Queue1].QueueLengthAverage	
3				0.29085887556168954	9.61376615733546E-4	0.43718701488000644	0.0010895451232081092	0.2176821940917898	0.001161559338942183	0.054271915466514165	2.850427628348139E-4	4.216181593914694	0.010376579415199722	0.221003022499818	0.0011080872100935886	1.0353671494631287	0.002216429816857583	0.054271915466514734	2.8504276283315564E-4

4	1	Gamma		0.29210164142972106		0.4359096585531206		0.21774736555590554		0.054241334461252774		4.194722035162001		0.2200174194881325		1.03412839304869		0.054241334461248285	
4	2	Gamma		0.2920446976402972		0.43836535231977775		0.21567348824120333		0.05391646179872167		4.191410841226484		0.21909245316232315		1.0314617141983495		0.053916461798716106	
4	3	Gamma		0.2915845835547656		0.4362374192608155		0.21818452343827055		0.05399347374614833		4.22024900591527		0.220246680588024		1.0345868873758015		0.053993473746154076	
4	4	Gamma		0.2914137162800017		0.43781935320327275		0.21678567416661224		0.053981256350113326		4.217256908541406		0.22030827891783072		1.0333344705868373		0.05398125635012039	
4	5	Gamma		0.28942595297358664		0.43606035550740224		0.21922118259868886		0.05529250892032222		4.2424931938225185		0.22547020340052276		1.0403802474657466		0.05529250892031699	
4	6	Gamma		0.29264616046346553		0.4353969379039989		0.21696634724340055		0.054990554389135		4.216701629861373		0.2241877074668707		1.034301295558205		0.054990554389133785	
4	7	Gamma		0.29190487213894		0.4346360982371161		0.21856743796769443		0.05489159165624944		4.230183620154345		0.2240363396741652		1.0364457491412533		0.05489159165624657	
4	8	Gamma		0.291949147252635		0.4374873516774089		0.21665317290698055		0.05391032816297555		4.210564805543954		0.2198393651691713		1.0325246819802967		0.0539103281629752	
4	9	Gamma		0.2894117033578416		0.43779941825948837		0.21941688669078		0.05337199169189		4.21427574197416		0.21695049669483019		1.0367491667167184		0.053371991691895174	
4	10	Gamma		0.2905096015823283		0.4376320574704961		0.21747341216808777		0.05438492877908778		4.224096959001617		0.2218000504860839		1.0357336681439349		0.0543849287790868	
4				0.2912992076673583	8.118368472919779E-4	0.4367344002392897	8.895064713619013E-4	0.21766894909776238	8.553726047775357E-4	0.05429744299558961	4.2507214870921706E-4	4.216195474120313	0.010869798835033534	0.22119489950479543	0.0018928177938442514	1.0349646274215833	0.001807427755559728	0.05429744299558934	4.2507214870733087E-4
